make,model,year,price,mileage,overall_rating,complaint_count,reliability_score,age,depreciation_rate,fuel_type,engine,transmission,accident,clean_title
TOYOTA,TUNDRA SR5,2021,44750.0,33455.0,3.0,0.0,1.0,3,0.4499999999999999,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,Yes
BMW,X1 SDRIVE28I,2022,35750.0,43000.0,3.0,0.0,1.0,2,0.3,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
MERCEDES-BENZ,GL-CLASS GL 550 4MATIC,2016,35300.0,46102.0,3.0,0.0,1.0,8,1.2,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,Yes
CADILLAC,XTS LUXURY,2019,21000.0,59000.0,3.0,2.0,0.9986357435197816,5,0.75,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,Yes
JAGUAR,XJ8 BASE,2004,9500.0,134000.0,3.0,0.0,1.0,20,3.0,Gasoline,294.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,Yes
CHEVROLET,CAMARO ZL1,2020,150000.0,3715.0,3.0,0.0,1.0,4,0.6,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
MERCEDES-BENZ,SPRINTER 2500,2012,24000.0,100245.0,3.0,0.0,1.0,12,1.7999999999999998,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,At least 1 accident or damage reported,Yes
MERCEDES-BENZ,C-CLASS C 300 4MATIC,2022,42999.0,8583.0,3.0,0.0,1.0,2,0.3,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,None reported,
DODGE,DAKOTA SLT,2003,5700.0,141800.0,3.0,0.0,1.0,21,3.15,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
AUDI,A5 2.0T PREMIUM PLUS,2012,13800.0,77000.0,3.0,0.0,1.0,12,1.7999999999999998,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
AUDI,A5 2.0T PREMIUM,2018,31500.0,67035.0,3.0,0.0,1.0,6,0.8999999999999999,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,Yes
AUDI,S5 3.0 PREMIUM PLUS,2012,19500.0,61450.0,3.0,0.0,1.0,12,1.7999999999999998,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,Yes
PORSCHE,PANAMERA GTS,2015,52590.0,39500.0,3.0,0.0,1.0,9,1.35,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,Yes
